District (English),District (Traditional Chinese),Sequence No.,Company (English),Company (Traditional Chinese),Location (English),Location (Traditional Chinese),Telephone No.,Dedicated Site (English),Dedicated Site (Traditional Chinese),Latitude,Longitude
Hong Kong Island,香港島,1,Shell,蜆殼,Pokfulam Road  (near Mount Davis Road),薄扶林道 (近摩星嶺道),2495 2585,,,22.275049,114.13
Hong Kong Island,香港島,2,Sinopec,中國石化,"Fung Yip Street, Chai Wan",柴灣豐業街,2505 3059,Yes,是,22.267146,114.2451
Hong Kong Island,香港島,3,Shell,蜆殼,"Marsh Road, Wan Chai",灣仔馬師道,2885 1320,Yes,是,22.281699,114.1788
Hong Kong Island,香港島,4,ExxonMobil,埃克森美孚,"66 Wong Chuk Hang Road, Aberdeen",香港仔黃竹坑道 66 號,2553 6881,,,22.24971,114.1692
Hong Kong Island,香港島,5,ExxonMobil,埃克森美孚,"34 Stanley Village Road, Stanley",赤柱赤柱村道 34 號,2383 1115,,,22.222594,114.2113
Hong Kong Island,香港島,6,Feoso,東方石油,"Java Road, North Point",北角渣華道,2563 9151,,,22.292691,114.2062
Hong Kong Island,香港島,7,Feoso,東方石油,"23 Fung Yip Street, Chai Wan",柴灣豐業街 23 號,2558 7526,,,22.26663,114.2444
Hong Kong Island,香港島,8,PetroChina,中國石油,"South Bay Road, Repulse Bay",淺水灣南灣道,2467 5128,,,22.238743,114.1994
Hong Kong Island,香港島,9,Shell,蜆殼,"Fung Mat Road, Sheung Wan",上環豐物道,2756 7899,Yes,是,22.288822,114.1386
Kowloon,九龍,10,Caltex,加德士,"5 Fung Shing Street, Po Kong Village",蒲崗村豐盛街 5 號,2329 6536,,,22.343367,114.2083
Kowloon,九龍,11,Sinopec,中國石化,"Ngo Cheung Road, West Kowloon",西九龍翱翔道,2702 7723,Yes,是,22.311305,114.1659
Kowloon,九龍,12,Sinopec,中國石化,"Sham Mong Road, Mei Foo",美孚深旺道,2715 2354,Yes,是,22.33456,114.1458
Kowloon,九龍,13,ExxonMobil,埃克森美孚,"7 Kai Fuk Road, Kowloon Bay  (East Bound)",九龍灣啟福道 7 號 (東行線),2758 8595,,,22.321328,114.2057
Kowloon,九龍,14,ExxonMobil,埃克森美孚,"4 Kai Fuk Road, Kowloon Bay (West Bound)",九龍灣啟福道 4 號 (西行線),2798 9366,,,22.321057,114.2051
Kowloon,九龍,15,PetroChina,中國石油,"Princess Margaret Road, Ho Man Tin",何文田公主道,2715 8899,,,22.310687,114.1782
Kowloon,九龍,16,PetroChina,中國石油,"338 Tai Po Road, Sham Shui Po",深水埗大埔道 338 號,2720 2020,,,22.338833,114.1635
Kowloon,九龍,17,Shell,蜆殼,"5 Kai Fuk Road, Kowloon Bay  (East Bound)",九龍灣啟福道 5 號 (東行線),2758 9621,,,22.321737,114.2052
Kowloon,九龍,18,Shell,蜆殼,"6 Kai Fuk Road, Kowloon Bay  (West Bound)",九龍灣啟福道 6 號 (西行線),2798 9508,,,22.320825,114.2054
Kowloon,九龍,19,Sinopec,中國石化,"Wai Lok Street, Kwun Tong",觀塘偉樂街,2349 4013,Yes,是,22.303398,114.2252
Kowloon,九龍,20,Sinopec,中國石化,"Cheung Yip Street, Kowloon Bay",九龍灣祥業街,2246 9324,Yes,是,22.316547,114.2118
Kowloon,九龍,21,Sinopec,中國石化,"Cornwall Street, Kowloon Tong",九龍塘歌和老街,2336 7420,,,22.340136,114.1735
Kowloon,九龍,22,Sinopec,中國石化,"Wang Chin Street, Kowloon Bay",九龍灣宏展街,2331 9526,,,22.322673,114.2042
Kowloon,九龍,23,ExxonMobil,埃克森美孚,"332 Tai Po Road, Sham Shui Po",深水埗大埔道 332 號,2382 6038,,,22.338609,114.1634
New Territories & Islands,新界及離島,24,Caltex,加德士,"Clear Water Bay Road, Sai Kung  (near TV City entrance)",西貢清水灣道 (近無線電視城入口),2719 8316,,,22.330632,114.2628
New Territories & Islands,新界及離島,25,Caltex,加德士,"171 Tsing Yi Road West, Tsing Yi [Revalidation in progress]",青衣青衣西路 171 號 [覆檢進行中],2497 0035,,,22.355343,114.0994
New Territories & Islands,新界及離島,26,China Oil,中國石油,"J/O Yu Tung Road & Chung Yan Road, Tung Chung",東涌裕東路與松仁路交界,2988 1809,,,22.280407,113.9397
New Territories & Islands,新界及離島,27,PetroChina,中國石油,"Kam Tin Road, Yuen Long  (near Shek Kong)",元朗錦田公路 (近石崗),3126 7057,,,22.440108,114.0733
New Territories & Islands,新界及離島,28,Shell,蜆殼,"Yip Wong Road, Tuen Mun",屯門業旺路,2624 7747,Yes,是,22.390188,113.969
New Territories & Islands,新界及離島,29,ExxonMobil,埃克森美孚,"99 Castle Peak Road, Kwai Chung",葵涌青山公路 99 號,2741 6215,,,22.350289,114.1327
New Territories & Islands,新界及離島,30,ExxonMobil,埃克森美孚,"4 Tong Yan Shan Road, Ping Shan, Yuen Long",元朗屏山唐人新村路 4 號,2475 9773,,,22.441151,114.0108
New Territories & Islands,新界及離島,31,ExxonMobil,埃克森美孚,"Hiram's Highway, Sai Kung  (near Sai Kung Tuk)",西貢西貢公路 (近西貢篤),2792 2741,,,22.379372,114.2663
New Territories & Islands,新界及離島,32,ExxonMobil,埃克森美孚,"11 On Ping Street, Shek Mun, Shatin",沙田石門安平街 11 號,2686 9865,,,22.392556,114.2083
New Territories & Islands,新界及離島,33,ExxonMobil,埃克森美孚,"21 Po Lam Road, Tseung Kwan O",將軍澳寶林路 21 號,2704 3809,,,22.327489,114.2543
New Territories & Islands,新界及離島,34,ExxonMobil,埃克森美孚,"739-745 Castle Peak Road, Tsuen Wan",荃灣青山公路 739 號至 745 號,2422 0605,,,22.370419,114.126
New Territories & Islands,新界及離島,35,ExxonMobil,埃克森美孚,"698-704 Castle Peak Road, Kwai Chung",葵涌青山公路 698 號至 704 號,2420 1033,,,22.370948,114.1274
New Territories & Islands,新界及離島,36,ExxonMobil,埃克森美孚,"38 Hoi Wah Road, Tuen Mun",屯門海華路 38 號,2618 2686,,,22.380227,113.9712
New Territories & Islands,新界及離島,37,ExxonMobil,埃克森美孚,"339 Jockey Club Road, Fanling",粉嶺馬會道 339 號,2670 4161,,,22.491313,114.1457
New Territories & Islands,新界及離島,38,ExxonMobil,埃克森美孚,Clear Water Bay Road (near Anderson Road),西貢清水灣道 (近安達臣道),2325 5768,,,22.33477,114.2298
New Territories & Islands,新界及離島,39,Shell,蜆殼,"6 Cheong King Road, Chek Lap Kok",赤鱲角暢景路 6 號,2949 0328,,,22.310825,113.9388
New Territories & Islands,新界及離島,40,Shell,蜆殼,"Sha Tau Kok Road, Fanling  (near Lung Yeuk Tau)",粉嶺沙頭角公路 (近龍躍頭),2776 3823,,,22.500656,114.1466
New Territories & Islands,新界及離島,41,Shell,蜆殼,"21 On Shan Lane, Ma On Shan",馬鞍山安山里 21 號,2640 8705,,,22.418631,114.2325
New Territories & Islands,新界及離島,42,Shell,蜆殼,"100 Po Hong Road, Tseung Kwan O",將軍澳寶康路 100 號,2703 6373,,,22.321777,114.2549
New Territories & Islands,新界及離島,43,Shell,蜆殼,"173 Tsing Yi Road West, Tsing Yi, N.T.",新界青衣青衣西路 173 號,2431 0223,,,22.355532,114.0995
New Territories & Islands,新界及離島,44,Shell,蜆殼,"J/O Kam Sheung Road & Pat Heung Road, Yuen Long",元朗錦上路與八鄉路交界,2483 2537,,,22.425087,114.075
New Territories & Islands,新界及離島,45,Shell,蜆殼,"682-688 Castle Peak Road, Kwai Chung",葵涌青山公路 682-688 號,2420 0518,,,22.37112,114.1281
New Territories & Islands,新界及離島,46,Sinopec,中國石化,"Yuen Chau Tsai, Tai Po",大埔元洲仔,2651 3886,Yes,是,22.44591,114.174
New Territories & Islands,新界及離島,47,Sinopec,中國石化,"Kwai On Road, Kwai Chung",葵涌葵安道,2428 0480,Yes,是,22.360566,114.1316
New Territories & Islands,新界及離島,48,Sinopec,中國石化,"Tak Yip Street, Yuen Long [Construction in progress]",元朗德業街 [工程進行中],N/A,Yes,是,22.45157,114.0302
New Territories & Islands,新界及離島,49,Sinopec,中國石化,"Hang Yiu Street, Ma On Shan [Construction in progress]",馬鞍山恆耀街 [工程進行中],N/A,Yes,是,22.413901,114.2269
New Territories & Islands,新界及離島,50,Sinopec,中國石化,"12 Yuen On Street, Siu Lek Yuen, Shatin",小瀝源源安街 12 號,2647 8255,,,22.381886,114.2075
New Territories & Islands,新界及離島,51,Sinopec,中國石化,"Kam Tin Road, Yuen Long  (near Shek Kong)",元朗錦田公路 (近石崗),2488 3328,,,22.440135,114.0741
New Territories & Islands,新界及離島,52,Sinopec,中國石化,"J/O Pak Wo Road & Yat Ming Road, Fanling",粉嶺百和路與一鳴路交界,2677 6028,,,22.485448,114.1438
New Territories & Islands,新界及離島,53,Sinopec,中國石化,"53-67 Tsing Yi Road, Tsing Yi [Revalidation in progress]",青衣青衣路 53-67 號 [覆檢進行中],2434 5596,,,22.330142,114.1057
New Territories & Islands,新界及離島,54,Sinopec,中國石化,"Fuk Hang Tsuen Road, Lam Tei, Tuen Mun",屯門藍地福亨村路,2454 2743,,,22.421024,113.9851
New Territories & Islands,新界及離島,55,Sinopec,中國石化,"9 Tong Yan Shan Road, Ping Shan,  Yuen Long",元朗屏山唐人新村路 9 號,2474 7877,,,22.440546,114.0114
New Territories & Islands,新界及離島,56,Sinopec,中國石化,"123 Ping Ha Road, Tin Shui Wai",天水圍屏廈路 123 號,2472 2544,,,22.446377,113.9944
New Territories & Islands,新界及離島,57,Sinopec,中國石化,"25 Hei Tung Street , Tung Chung",東涌喜東街 25 號,2109 2971,,,22.29458,113.9534
New Territories & Islands,新界及離島,58,Sinopec,中國石化,"Tai Po Road, Tai Po  (near Tai Po Kau)",大埔大埔公路 (近大埔滘),2651 3873,,,22.432442,114.1937
New Territories & Islands,新界及離島,59,Sinopec,中國石化,"23 Hei Tung Street, Tung Chung",東涌喜東街 23 號,2109 1941,,,22.294444,113.953
New Territories & Islands,新界及離島,60,Sinopec,中國石化,"Kam Tin Road, Yuen Long  (near Au Tau)",元朗錦田公路 (近凹頭),2479 7601,,,22.443854,114.0496
New Territories & Islands,新界及離島,61,Sinopec,中國石化,"Castle Peak Road, Yuen Long (near Fui Sha Wai)",元朗青山道 (近灰沙圍),2479 8563,,,22.436956,114.0028
New Territories & Islands,新界及離島,62,Sinopec,中國石化,"690 Castle Peak Road, Tsuen Wan",荃灣青山公路 690 號,2429 6113,,,22.371037,114.1278
New Territories & Islands,新界及離島,63,Sinopec,中國石化,"101 Castle Peak Road, Kwai Chung",葵涌青山公路 101 號,2741 0818,,,22.350745,114.1326
New Territories & Islands,新界及離島,64,Sinopec,中國石化,"Hirman's Highway, Sai Kung (near Tai Chung Hau)",西貢西貢公路 (近大涌口),2321 3868,,,22.372803,114.26
New Territories & Islands,新界及離島,65,Sinopec,中國石化,"233 Clear Water Bay Road, Sai Kung, N.T. (near Tseng Lan Shue)",西貢清水灣道 233 號 (近井欄樹),2522 2324,,,22.333933,114.2329
New Territories & Islands,新界及離島,66,Shell,蜆殼,"Area 30A, San Tak Street, Tuen Mun",屯門第 30A 區新德街 3 號,2459 8130,,,22.401716,113.977
New Territories & Islands,新界及離島,67,Sinopec,中國石化,HK International Airport Airside Filling Station No. 2 (for vehicles inside the airport restricted area),香港國際機場禁區二號加油站 (供機場禁區車輛使用),2215 3512,,,22.310647,113.9365
