資料年月,縣市,燃料別,車種類別,數量
201209,臺北市,汽油,大客車,39
201209,臺北市,汽油,大貨車,26
201209,臺北市,汽油,小客車,635193
201209,臺北市,汽油,小貨車,36222
201209,臺北市,汽油,特種車,4797
201209,臺北市,汽油,機車重型,856476
201209,臺北市,汽油,機車輕型,240783
201209,臺北市,汽油(油電),大客車,0
201209,臺北市,汽油(油電),大貨車,0
201209,臺北市,汽油(油電),小客車,0
201209,臺北市,汽油(油電),小貨車,0
201209,臺北市,汽油(油電),特種車,0
201209,臺北市,汽油(油電),機車重型,0
201209,臺北市,汽油(油電),機車輕型,0
201209,臺北市,汽油/LPG,大客車,0
201209,臺北市,汽油/LPG,大貨車,0
201209,臺北市,汽油/LPG,小客車,7350
201209,臺北市,汽油/LPG,小貨車,2
201209,臺北市,汽油/LPG,特種車,13
201209,臺北市,汽油/LPG,機車重型,0
201209,臺北市,汽油/LPG,機車輕型,0
201209,臺北市,汽油/電能,大客車,0
201209,臺北市,汽油/電能,大貨車,0
201209,臺北市,汽油/電能,小客車,7895
201209,臺北市,汽油/電能,小貨車,2
201209,臺北市,汽油/電能,特種車,7
201209,臺北市,汽油/電能,機車重型,0
201209,臺北市,汽油/電能,機車輕型,0
201209,臺北市,柴油,大客車,7174
201209,臺北市,柴油,大貨車,6015
201209,臺北市,柴油,小客車,21403
201209,臺北市,柴油,小貨車,23536
201209,臺北市,柴油,特種車,3410
201209,臺北市,柴油,機車重型,1
201209,臺北市,柴油,機車輕型,0
201209,臺北市,柴油(油電),大客車,0
201209,臺北市,柴油(油電),大貨車,0
201209,臺北市,柴油(油電),小客車,0
201209,臺北市,柴油(油電),小貨車,0
201209,臺北市,柴油(油電),特種車,0
201209,臺北市,柴油(油電),機車重型,0
201209,臺北市,柴油(油電),機車輕型,0
201209,臺北市,柴油/電能,大客車,20
201209,臺北市,柴油/電能,大貨車,0
201209,臺北市,柴油/電能,小客車,0
201209,臺北市,柴油/電能,小貨車,0
201209,臺北市,柴油/電能,特種車,0
201209,臺北市,柴油/電能,機車重型,0
201209,臺北市,柴油/電能,機車輕型,0
201209,臺北市,液化石油氣,大客車,0
201209,臺北市,液化石油氣,大貨車,0
201209,臺北市,液化石油氣,小客車,0
201209,臺北市,液化石油氣,小貨車,1
201209,臺北市,液化石油氣,特種車,0
201209,臺北市,液化石油氣,機車重型,0
201209,臺北市,液化石油氣,機車輕型,0
201209,臺北市,電能,大客車,0
201209,臺北市,電能,大貨車,0
201209,臺北市,電能,小客車,62
201209,臺北市,電能,小貨車,0
201209,臺北市,電能,特種車,3
201209,臺北市,電能,機車重型,14
201209,臺北市,電能,機車輕型,3299
201209,臺北市,電能(增程),大客車,0
201209,臺北市,電能(增程),大貨車,0
201209,臺北市,電能(增程),小客車,0
201209,臺北市,電能(增程),小貨車,0
201209,臺北市,電能(增程),特種車,0
201209,臺北市,電能(增程),機車重型,0
201209,臺北市,電能(增程),機車輕型,0
201209,臺北市,電能/汽油,大客車,0
201209,臺北市,電能/汽油,大貨車,0
201209,臺北市,電能/汽油,小客車,0
201209,臺北市,電能/汽油,小貨車,0
201209,臺北市,電能/汽油,特種車,0
201209,臺北市,電能/汽油,機車重型,0
201209,臺北市,電能/汽油,機車輕型,0
201209,臺北市,電能/柴油,大客車,0
201209,臺北市,電能/柴油,大貨車,0
201209,臺北市,電能/柴油,小客車,0
201209,臺北市,電能/柴油,小貨車,0
201209,臺北市,電能/柴油,特種車,0
201209,臺北市,電能/柴油,機車重型,0
201209,臺北市,電能/柴油,機車輕型,0
201209,臺北市,總計,大客車,7233
201209,臺北市,總計,大貨車,6041
201209,臺北市,總計,小客車,671903
201209,臺北市,總計,小貨車,59763
201209,臺北市,總計,特種車,8230
201209,臺北市,總計,機車重型,856491
201209,臺北市,總計,機車輕型,244082
201210,臺北市,汽油,大客車,38
201210,臺北市,汽油,大貨車,26
201210,臺北市,汽油,小客車,635426
201210,臺北市,汽油,小貨車,36254
201210,臺北市,汽油,特種車,4836
201210,臺北市,汽油,機車重型,858124
201210,臺北市,汽油,機車輕型,239590
201210,臺北市,汽油(油電),大客車,0
201210,臺北市,汽油(油電),大貨車,0
201210,臺北市,汽油(油電),小客車,0
201210,臺北市,汽油(油電),小貨車,0
201210,臺北市,汽油(油電),特種車,0
201210,臺北市,汽油(油電),機車重型,0
201210,臺北市,汽油(油電),機車輕型,0
201210,臺北市,汽油/LPG,大客車,0
201210,臺北市,汽油/LPG,大貨車,0
201210,臺北市,汽油/LPG,小客車,7412
201210,臺北市,汽油/LPG,小貨車,2
201210,臺北市,汽油/LPG,特種車,15
201210,臺北市,汽油/LPG,機車重型,0
201210,臺北市,汽油/LPG,機車輕型,0
201210,臺北市,汽油/電能,大客車,0
201210,臺北市,汽油/電能,大貨車,0
201210,臺北市,汽油/電能,小客車,8246
201210,臺北市,汽油/電能,小貨車,3
201210,臺北市,汽油/電能,特種車,7
201210,臺北市,汽油/電能,機車重型,0
201210,臺北市,汽油/電能,機車輕型,0
201210,臺北市,柴油,大客車,7142
201210,臺北市,柴油,大貨車,6029
201210,臺北市,柴油,小客車,21767
201210,臺北市,柴油,小貨車,23670
201210,臺北市,柴油,特種車,3425
201210,臺北市,柴油,機車重型,1
201210,臺北市,柴油,機車輕型,0
201210,臺北市,柴油(油電),大客車,0
201210,臺北市,柴油(油電),大貨車,0
201210,臺北市,柴油(油電),小客車,0
201210,臺北市,柴油(油電),小貨車,0
201210,臺北市,柴油(油電),特種車,0
201210,臺北市,柴油(油電),機車重型,0
201210,臺北市,柴油(油電),機車輕型,0
201210,臺北市,柴油/電能,大客車,20
201210,臺北市,柴油/電能,大貨車,0
201210,臺北市,柴油/電能,小客車,0
201210,臺北市,柴油/電能,小貨車,0
201210,臺北市,柴油/電能,特種車,0
201210,臺北市,柴油/電能,機車重型,0
201210,臺北市,柴油/電能,機車輕型,0
201210,臺北市,液化石油氣,大客車,0
201210,臺北市,液化石油氣,大貨車,0
201210,臺北市,液化石油氣,小客車,0
201210,臺北市,液化石油氣,小貨車,1
201210,臺北市,液化石油氣,特種車,0
201210,臺北市,液化石油氣,機車重型,0
201210,臺北市,液化石油氣,機車輕型,0
201210,臺北市,電能,大客車,2
201210,臺北市,電能,大貨車,0
201210,臺北市,電能,小客車,81
201210,臺北市,電能,小貨車,3
201210,臺北市,電能,特種車,3
201210,臺北市,電能,機車重型,14
201210,臺北市,電能,機車輕型,3348
201210,臺北市,電能(增程),大客車,0
201210,臺北市,電能(增程),大貨車,0
201210,臺北市,電能(增程),小客車,0
201210,臺北市,電能(增程),小貨車,0
201210,臺北市,電能(增程),特種車,0
201210,臺北市,電能(增程),機車重型,0
201210,臺北市,電能(增程),機車輕型,0
201210,臺北市,電能/汽油,大客車,0
201210,臺北市,電能/汽油,大貨車,0
201210,臺北市,電能/汽油,小客車,0
201210,臺北市,電能/汽油,小貨車,0
201210,臺北市,電能/汽油,特種車,0
201210,臺北市,電能/汽油,機車重型,0
201210,臺北市,電能/汽油,機車輕型,0
201210,臺北市,電能/柴油,大客車,0
201210,臺北市,電能/柴油,大貨車,0
201210,臺北市,電能/柴油,小客車,0
201210,臺北市,電能/柴油,小貨車,0
201210,臺北市,電能/柴油,特種車,0
201210,臺北市,電能/柴油,機車重型,0
201210,臺北市,電能/柴油,機車輕型,0
201210,臺北市,總計,大客車,7202
201210,臺北市,總計,大貨車,6055
201210,臺北市,總計,小客車,672932
201210,臺北市,總計,小貨車,59933
201210,臺北市,總計,特種車,8286
201210,臺北市,總計,機車重型,858139
201210,臺北市,總計,機車輕型,242938
201211,臺北市,汽油,大客車,38
201211,臺北市,汽油,大貨車,26
201211,臺北市,汽油,小客車,635514
201211,臺北市,汽油,小貨車,36181
201211,臺北市,汽油,特種車,4794
201211,臺北市,汽油,機車重型,859506
201211,臺北市,汽油,機車輕型,238626
201211,臺北市,汽油(油電),大客車,0
201211,臺北市,汽油(油電),大貨車,0
201211,臺北市,汽油(油電),小客車,0
201211,臺北市,汽油(油電),小貨車,0
201211,臺北市,汽油(油電),特種車,0
201211,臺北市,汽油(油電),機車重型,0
201211,臺北市,汽油(油電),機車輕型,0
201211,臺北市,汽油/LPG,大客車,0
201211,臺北市,汽油/LPG,大貨車,0
201211,臺北市,汽油/LPG,小客車,7577
201211,臺北市,汽油/LPG,小貨車,2
201211,臺北市,汽油/LPG,特種車,15
201211,臺北市,汽油/LPG,機車重型,0
201211,臺北市,汽油/LPG,機車輕型,0
201211,臺北市,汽油/電能,大客車,0
201211,臺北市,汽油/電能,大貨車,0
201211,臺北市,汽油/電能,小客車,8625
201211,臺北市,汽油/電能,小貨車,2
201211,臺北市,汽油/電能,特種車,7
201211,臺北市,汽油/電能,機車重型,0
201211,臺北市,汽油/電能,機車輕型,0
201211,臺北市,柴油,大客車,7156
201211,臺北市,柴油,大貨車,6043
201211,臺北市,柴油,小客車,22098
201211,臺北市,柴油,小貨車,23696
201211,臺北市,柴油,特種車,3430
201211,臺北市,柴油,機車重型,1
201211,臺北市,柴油,機車輕型,0
201211,臺北市,柴油(油電),大客車,0
201211,臺北市,柴油(油電),大貨車,0
201211,臺北市,柴油(油電),小客車,0
201211,臺北市,柴油(油電),小貨車,0
201211,臺北市,柴油(油電),特種車,0
201211,臺北市,柴油(油電),機車重型,0
201211,臺北市,柴油(油電),機車輕型,0
201211,臺北市,柴油/電能,大客車,20
201211,臺北市,柴油/電能,大貨車,0
201211,臺北市,柴油/電能,小客車,0
201211,臺北市,柴油/電能,小貨車,0
201211,臺北市,柴油/電能,特種車,0
201211,臺北市,柴油/電能,機車重型,0
201211,臺北市,柴油/電能,機車輕型,0
201211,臺北市,液化石油氣,大客車,0
201211,臺北市,液化石油氣,大貨車,0
201211,臺北市,液化石油氣,小客車,0
201211,臺北市,液化石油氣,小貨車,1
201211,臺北市,液化石油氣,特種車,0
201211,臺北市,液化石油氣,機車重型,0
201211,臺北市,液化石油氣,機車輕型,0
201211,臺北市,電能,大客車,2
201211,臺北市,電能,大貨車,0
201211,臺北市,電能,小客車,90
201211,臺北市,電能,小貨車,3
201211,臺北市,電能,特種車,3
201211,臺北市,電能,機車重型,14
201211,臺北市,電能,機車輕型,3379
201211,臺北市,電能(增程),大客車,0
201211,臺北市,電能(增程),大貨車,0
201211,臺北市,電能(增程),小客車,0
201211,臺北市,電能(增程),小貨車,0
201211,臺北市,電能(增程),特種車,0
201211,臺北市,電能(增程),機車重型,0
201211,臺北市,電能(增程),機車輕型,0
201211,臺北市,電能/汽油,大客車,0
201211,臺北市,電能/汽油,大貨車,0
201211,臺北市,電能/汽油,小客車,0
201211,臺北市,電能/汽油,小貨車,0
201211,臺北市,電能/汽油,特種車,0
201211,臺北市,電能/汽油,機車重型,0
201211,臺北市,電能/汽油,機車輕型,0
201211,臺北市,電能/柴油,大客車,0
201211,臺北市,電能/柴油,大貨車,0
201211,臺北市,電能/柴油,小客車,0
201211,臺北市,電能/柴油,小貨車,0
201211,臺北市,電能/柴油,特種車,0
201211,臺北市,電能/柴油,機車重型,0
201211,臺北市,電能/柴油,機車輕型,0
201211,臺北市,總計,大客車,7216
201211,臺北市,總計,大貨車,6069
201211,臺北市,總計,小客車,673904
201211,臺北市,總計,小貨車,59885
201211,臺北市,總計,特種車,8249
201211,臺北市,總計,機車重型,859521
201211,臺北市,總計,機車輕型,242005
201212,臺北市,汽油,大客車,36
201212,臺北市,汽油,大貨車,26
201212,臺北市,汽油,小客車,635918
201212,臺北市,汽油,小貨車,36063
201212,臺北市,汽油,特種車,4770
201212,臺北市,汽油,機車重型,859837
201212,臺北市,汽油,機車輕型,236687
201212,臺北市,汽油(油電),大客車,0
201212,臺北市,汽油(油電),大貨車,0
201212,臺北市,汽油(油電),小客車,0
201212,臺北市,汽油(油電),小貨車,0
201212,臺北市,汽油(油電),特種車,0
201212,臺北市,汽油(油電),機車重型,0
201212,臺北市,汽油(油電),機車輕型,0
201212,臺北市,汽油/LPG,大客車,0
201212,臺北市,汽油/LPG,大貨車,0
201212,臺北市,汽油/LPG,小客車,7527
201212,臺北市,汽油/LPG,小貨車,2
201212,臺北市,汽油/LPG,特種車,16
201212,臺北市,汽油/LPG,機車重型,0
201212,臺北市,汽油/LPG,機車輕型,0
201212,臺北市,汽油/電能,大客車,0
201212,臺北市,汽油/電能,大貨車,0
201212,臺北市,汽油/電能,小客車,9060
201212,臺北市,汽油/電能,小貨車,2
201212,臺北市,汽油/電能,特種車,8
201212,臺北市,汽油/電能,機車重型,0
201212,臺北市,汽油/電能,機車輕型,0
201212,臺北市,柴油,大客車,7129
201212,臺北市,柴油,大貨車,6046
201212,臺北市,柴油,小客車,22633
201212,臺北市,柴油,小貨車,23806
201212,臺北市,柴油,特種車,3441
201212,臺北市,柴油,機車重型,1
201212,臺北市,柴油,機車輕型,0
201212,臺北市,柴油(油電),大客車,0
201212,臺北市,柴油(油電),大貨車,0
201212,臺北市,柴油(油電),小客車,0
201212,臺北市,柴油(油電),小貨車,0
201212,臺北市,柴油(油電),特種車,0
201212,臺北市,柴油(油電),機車重型,0
201212,臺北市,柴油(油電),機車輕型,0
201212,臺北市,柴油/電能,大客車,20
201212,臺北市,柴油/電能,大貨車,0
201212,臺北市,柴油/電能,小客車,0
201212,臺北市,柴油/電能,小貨車,0
201212,臺北市,柴油/電能,特種車,0
201212,臺北市,柴油/電能,機車重型,0
201212,臺北市,柴油/電能,機車輕型,0
201212,臺北市,液化石油氣,大客車,0
201212,臺北市,液化石油氣,大貨車,0
201212,臺北市,液化石油氣,小客車,0
201212,臺北市,液化石油氣,小貨車,1
201212,臺北市,液化石油氣,特種車,0
201212,臺北市,液化石油氣,機車重型,0
201212,臺北市,液化石油氣,機車輕型,0
201212,臺北市,電能,大客車,2
201212,臺北市,電能,大貨車,0
201212,臺北市,電能,小客車,90
201212,臺北市,電能,小貨車,3
201212,臺北市,電能,特種車,3
201212,臺北市,電能,機車重型,14
201212,臺北市,電能,機車輕型,3395
201212,臺北市,電能(增程),大客車,0
201212,臺北市,電能(增程),大貨車,0
201212,臺北市,電能(增程),小客車,0
201212,臺北市,電能(增程),小貨車,0
201212,臺北市,電能(增程),特種車,0
201212,臺北市,電能(增程),機車重型,0
201212,臺北市,電能(增程),機車輕型,0
201212,臺北市,電能/汽油,大客車,0
201212,臺北市,電能/汽油,大貨車,0
201212,臺北市,電能/汽油,小客車,0
201212,臺北市,電能/汽油,小貨車,0
201212,臺北市,電能/汽油,特種車,0
201212,臺北市,電能/汽油,機車重型,0
201212,臺北市,電能/汽油,機車輕型,0
201212,臺北市,電能/柴油,大客車,0
