序號,廠商,名稱,地址,充電柱數量,座標-經度,座標-緯度
1,Tesla,台北花博公園超級充電站,臺北市中山區玉門街1號,6,121.5227082,25.07147252
2,Tesla,台北內湖服務體驗中心超級充電站,臺北市內湖區舊宗路二段1號,10,121.5755657,25.06703821
3,Tesla,台北南港展覽館2館超級充電站,臺北市南港區經貿二路2號 B1F 165-170車位,6,121.6164475,25.05608064
4,Tesla,北投雅樂軒超級充電站,臺北市北投區大業路300巷1號 B2,10,121.4985855,25.12879916
5,Tesla,臺灣大學超級充電站,臺北市大安區羅斯福路四段1號,6,121.5383816,25.02139616
6,Tesla,福林超級充電站,臺北市士林區中山北路五段465號旁,6,121.5281789,25.09248224
7,Tesla,松山超級充電站,台北市信義區市民大道六段246號,4,121.5771059,25.04908524
8,Tesla,信義交易廣場充電站,台北市信義區松仁路101號B3樓,6,121.5696672,25.03658893
9,Tesla,大葉高島屋充電站,台北市士林區忠誠路二段55號B2,18,121.5316471,25.11149056
10,Tesla,台北萬華家樂福桂林店超級充電站,臺北市萬華區桂林路1號 7F,6,121.5058635,25.0378901
11,Tesla,台北大直NOKE忠泰樂生活超級充電站,台北市中山區樂群三路200號 B2,10,121.5570625,25.0822446
12,Tesla,臺大體育館超級充電站,台北市大安區羅斯福路四段1號 B2,9,121.5383578,25.02124
13,Tesla,台北政治大學公企中心超級充電站,台北市大安區金華街187號 B2,11,121.527678,25.0305646
14,華城電能,台北大倉久和大飯站,臺北市中山區南京東路?段9號,3,121.5237034,25.05265678
15,華城電能,台北新光南軟站,臺北市南港區經貿二路196號,4,121.6156092,25.05995211
16,華城電能,台日交流協會,臺北市松山區慶城街28號,2,121.5465297,25.0542953
17,華城電能,台北內湖亞太經貿廣場A棟站,臺北市內湖區舊宗路二段187號 B2,3,121.5744703,25.07226474
18,華城電能,台北花園大酒店,臺北市中正區中華路二段1號,2,121.5071529,25.03666211
19,華城電能,EVALUE內湖旗艦站,臺北市內湖區民權東路6段186-8號,12,121.5945477,25.06883497
20,華城電能,維多麗亞酒店,臺北市中山區敬業四路168號,3,121.5602245,25.08437304
21,華城電能,台糖台北會館,臺北市中正區中華路?段39號1至21樓及B1至B4,3,121.5090598,25.04624327
22,華城電能,燦坤內湖總部站,台北市內湖區堤頂大道一段331號,3,121.5727366,25.06392715
23,華城電能,雀客藏居_台北陽明山,臺北市士林區格致路237號,2,121.5492458,25.14358466
24,華城電能,台北市信義之星,臺北市信義區松智路14號B2,2,121.5652506,25.03156975
25,華城電能,台北金融大樓股份有限公司(101購物中心),臺北市信義區市府路45號B4,15,121.5640212,25.03422911
26,華城電能,順益汽車_濱江營業所,臺北市中山區濱江街309號,1,121.5706037,25.07264278
27,華城電能,台北企業總部園區,台北市內湖區南京東路六段370號W棟B1停車場,6,121.5867986,25.05947696
28,中央研究院,中央研究院站,臺北市南港區研究院路二段128.130號,3,121.616646,25.04222734
29,台灣賓士,台隆賓士_台北濱江,台北市中山區濱江街277號,1,121.5430218,25.07295032
30,台灣賓士,中華賓士_台北南港,台北市南港區南港路三段53號1樓,1,121.5891208,25.05322812
31,台灣賓士,中華賓士_台北關渡,台北市北投區大度路三段168號,1,121.4685274,25.12400091
32,台灣賓士,中華賓士_台北內湖,台北市內湖區舊宗路一段279號,1,121.5772437,25.06351928
33,國際富豪汽車,新凱汽車仁愛充電站,臺北市大安區新生南路?段125號,2,121.5335495,25.03909748
34,國際富豪汽車,新凱汽車內湖充電站,臺北市內湖區民權東路六段17號1樓,14,121.5805047,25.06829944
35,國際富豪汽車,新凱汽車士林充電站,臺北市北投區承德路6段80號,10,121.5129004,25.10215419
36,國際富豪汽車,新凱汽車松江充電站,臺北市中山區松江路601號,2,121.5346274,25.07080293
37,源點科技,家樂福台北三民店,臺北市松山區三民路160號,2,121.5648457,25.0618713
38,源點科技,陽明山草山小鎮,臺北市士林區國泰街5號斜對面停車場,2,121.5433785,25.13630007
39,源點科技,Homiz車體工藝莊敬店,臺北市信義區莊敬路231號,1,121.5630436,25.03015914
40,源點科技,台北信義忠駝社區,臺北市信義區基隆路一段364巷20號1樓,2,121.5592747,25.03541003
41,源點科技,家樂福重慶店,台北市大同區重慶北路二段171號4F,4,121.513814,25.05932357
42,源點科技,台北大安上通停車場,台北市大安區忠孝路四段146巷1號B1,1,121.549848,25.04122691
43,源點科技,台大公館超充站,台北市大安區羅斯福路四段1號,3,121.5384214,25.0149608
44,奧迪福斯汽車,奧迪北區股份有限公司,臺北市內湖區行忠路178巷2號,2,121.584155,25.06697971
45,奧迪福斯汽車,奧迪北區股份有限公司,台北市南港區南港路二段155號,2,121.5953466,25.05452022
46,裕電能源,YES家樂福內湖充電站,臺北市內湖區民善街88號,2,121.5758537,25.06031059
47,裕電能源,京站時尚廣場附屬停車場,台北市大同區承德路一段一號B5樓,7,121.5170812,25.05064028
48,裕電能源,順益汽車股份有限公司(內湖營業所),台北市內湖區民權東路六段13-15號,1,121.5801076,25.06748426
49,裕電能源,YES 松菸文創,臺北市信義區菸廠路88號B4,7,121.561335,25.04474597
50,裕電能源,保證責任臺北市台北地下街場地利用合作社,臺北市大同區鄭州路115號,4,121.5157483,25.04985887
51,裕電能源,亞都麗緻大飯店股份有限公司,臺北市中山區民權東路二段41號,1,121.529822,25.062856
52,TAIL 特爾電力,台北福林站,臺北市士林區中山北路五段465號旁,4,121.5758,25.06733551
53,TAIL 特爾電力,南港研究院路站,台北市南港區研究院路一段101巷16弄8號,3,121.6165305,25.05177257
54,TAIL 特爾電力,大直美麗華站,台北市中山區敬業三路20號,6,121.5574835,25.0836859
55,普立斯國際開發,台北士林萬麗酒店,臺北市士林區中山北路五段470巷8號,4,121.5295076,25.09329809
56,澄泱科技,台北城市車旅信義威秀影城A17停車場,臺北市信義區松壽路20號B1,3,121.5678914,25.03552003
57,澄泱科技,uspace SCI瑞光大樓站,台北市內湖區基湖路3巷47號,4,121.5671273,25.08093921
58,桑瑪克,洗洋洋自助洗車松山站,台北市松山區撫遠街403巷23號,4,121.5663374,25.06654541
59,宅電,宅電ChargeSmith士林夜市,台北市士林區大北路118號,1,121.5241749,25.09083074
60,岳洋,國立台灣科技大學,台北市大安區基隆路四段43號,4,121.5358066,25.03489428
61,宜家家居,IKEA 宜家家居 內湖店,台北市內湖區舊宗路一段128號,4,121.5783715,25.06121125
62,遠傳電信,遠東SOGO台北復興館,台北市大安區忠孝東路三段300號,8,121.543795,25.04126601
63,遠傳電信,遠東SOGO天母館,台北市士林區中山北路六段77號,8,121.5249269,25.10554887
64,旭電馳科研,U-POWER 內湖行忠站,台北市內湖區行忠路65號,6,121.5787502,25.06594892
65,中興電工,台北小巨蛋地下停車場,台北市松山區南京東路四段2號,1,121.5501952,25.05096754
66,中興電工,南港展覽館2館,台北市南港區經貿二路2號,1,121.6160342,25.05661878
67,中興電工,市民大道停車場(中山林森站)(中林段地下停車場),台北市中正區市民大道二段18號(台北市中山區林森北路302號),2,121.5229267,25.04767088
68,中興電工,市民大道停車場(林森金山站)(林金段地下停車場),台北市中山區市民大道林金段(台北市中山區市民大道2段),2,121.5260335,25.04792172
69,中興電工,中崙高中地下停車場,台北市松山區八德路四段101號,1,121.5616767,25.04963284
70,中興電工,偶戲博物館地下停車場,台北市松山區市民大道五段99號,1,121.562162,25.04798408
71,中興電工,僑安地下停車場,台北市大安區忠孝東路四段306號B1,1,121.5566367,25.04129147
72,中興電工,昆明地下停車場(亞曼尼大樓),台北市萬華區昆明街46號B1,1,121.5061599,25.0469621
73,中興電工,內湖污水處理廠附屬公園停車場,臺北市內湖區舊宗路二段2號汙水廠旁停車場,2,121.5748148,25.06651363
74,中興電工,新生高架(錦州街-民權東路)停車場,臺北市中山區新生北路二段144號對面停車場,2,121.5273734,25.06141615
75,中興電工,新生高架(南京東路-長安東路)停車場,臺北市中山區新生北路一段122號對面停車場,2,121.5282995,25.05118325
76,中興電工,富邦人壽保險股份有限公司,臺北市中山區遼寧街177號B1及B4至B6停車場,2,121.5427388,25.0534323
77,中興電工,永固便利(港墘站)停車場,臺北市內湖區內湖路一段596號旁停車場,2,121.578104,25.078765
78,台泥儲能,台北樂群站,臺北市中山區敬業四路和樂群三路交叉口(樂群臨時平面停車場),2,121.5586699,25.08277295
79,台泥儲能,台北至善站,臺北市士林區至善路1段雙溪公園斜對面,2,121.538345,25.09829883
80,起而行,台北市新光摩天大樓B3停車場,臺北市忠孝西路一段66號,5,121.515912,25.04612876
81,Mr.Charger 恰吉先生,恰吉先生充電站,台北市內湖區蘆洲里安美街123號1樓,2,121.5986646,25.06040151
82,和潤電能(充壩技術),台北市士林區Lexus士林營業所,台北市士林區中正路350號,4,121.5213118,25.09489978
83,和潤電能,台北市信義區松高路19號,台北市信義區松高路19號,6,121.5666482,25.03977052
84,和潤電能,台北市信義區松壽路11號,台北市信義區松壽路11號,3,121.5672981,25.0366199
85,和潤電能,台北市信義區松高路12號,台北市信義區松高路12號,6,121.566866,25.03840877
86,和潤電能,台北市士林區忠誠路二段200號,台北市士林區忠誠路二段200號,3,121.5339532,25.11755771
87,和潤電能,台北市中山區南京西路12號,台北市中山區南京西路12號,4,121.5210528,25.05214562
