Date,BEV Number of units,BEV Share,PHEV Number of units,PHEV Share,BEV+PHEV Number of units,BEV+PHEV Share,All Number of units,,
8/24,"4,425",1.63%,"2,647",0.98%,"7,072",2.61%,"271,468",,
7/24,"5,072",1.50%,"3,683",1.09%,"8,755",2.58%,"338,704",,
6/24,"5,010",1.61%,"2,650",0.85%,"7,660",2.46%,"311,904",,
5/24,"3,795",1.45%,"2,505",0.96%,"6,300",2.41%,"261,327",,
4/24,"2,866",1.11%,"3,040",1.17%,"5,906",2.28%,"258,762",,
3/24,"7,462",1.94%,"5,353",1.39%,"12,815",3.34%,"384,161",,
2/24,"5,491",1.84%,"4,622",1.55%,"10,113",3.39%,"298,491",,
1/24,"4,658",1.63%,"3,410",1.19%,"8,068",2.83%,"285,431",,
12/23,"6,654",2.21%,"3,607",1.20%,"10,261",3.40%,"301,571",,
11/23,"6,429",1.87%,"4,661",1.35%,"11,090",3.22%,"344,045",,
10/23,"6,661",1.99%,"4,178",1.25%,"10,839",3.24%,"334,485",,
9/23,"9,017",2.48%,"5,670",1.56%,"14,687",4.04%,"363,399",,
8/23,"5,809",2.07%,"3,957",1.41%,"9,766",3.48%,"280,537",,
7/23,"6,322",1.97%,"4,907",1.53%,"11,229",3.50%,"320,997",,
6/23,"7,930",2.39%,"5,171",1.56%,"13,101",3.95%,"332,033",,
5/23,"6,538",2.40%,"3,569",1.31%,"10,107",3.72%,"272,042",,
4/23,"6,227",2.15%,"3,958",1.37%,"10,185",3.52%,"289,525",,
3/23,"9,631",2.02%,"5,570",1.17%,"15,201",3.18%,"477,943",,
2/23,"8,807",2.47%,"3,623",1.02%,"12,430",3.49%,"356,281",,
1/23,"8,510",2.66%,"3,272",1.02%,"11,782",3.68%,"319,870",,
12/22,"8,476",2.98%,"3,159",1.11%,"11,635",4.09%,"284,329",,
11/22,"7,089",2.30%,"2,184",0.71%,"9,273",3.01%,"308,059",,
10/22,"4,377",1.48%,"1,932",0.65%,"6,309",2.13%,"295,809",,
9/22,"8,691",2.67%,"4,623",1.42%,"13,314",4.10%,"324,901",,
8/22,"6,233",2.66%,"2,863",1.22%,"9,096",3.88%,"234,143",,
7/22,"6,176",2.14%,"4,147",1.44%,"10,323",3.58%,"288,145",,
6/22,"5,604",2.09%,"3,306",1.23%,"8,910",3.32%,"268,077",,
5/22,"1,880",0.89%,"2,953",1.39%,"4,833",2.28%,"211,856",,
4/22,"1,764",0.72%,"2,269",0.93%,"4,033",1.65%,"244,292",,
3/22,"4,351",1.02%,"3,543",0.83%,"7,894",1.85%,"426,393",,
2/22,"2,380",0.82%,"2,756",0.95%,"5,136",1.77%,"289,848",,
1/22,"1,792",0.66%,"4,037",1.48%,"5,829",2.14%,"272,445",,
12/21,"2,498",0.89%,"3,052",1.09%,"5,550",1.98%,"280,141",,
11/21,"2,218",0.76%,"1,981",0.68%,"4,199",1.44%,"291,665",,
10/21,"1,734",0.75%,"1,302",0.56%,"3,036",1.32%,"230,499",,
9/21,"2,553",0.99%,"1,829",0.71%,"4,382",1.71%,"256,963",,
8/21,"2,246",0.85%,"1,398",0.53%,"3,644",1.38%,"263,602",,
7/21,"1,963",0.63%,"1,743",0.56%,"3,706",1.20%,"309,463",,
6/21,"1,330",0.45%,"2,316",0.78%,"3,646",1.23%,"296,623",,
5/21,"1,252",0.48%,"1,512",0.58%,"2,764",1.06%,"261,522",,
4/21,699,0.24%,"1,598",0.55%,"2,297",0.80%,"288,397",,
3/21,"2,670",0.52%,"2,714",0.53%,"5,384",1.05%,"510,386",,
2/21,"1,438",0.40%,"1,774",0.49%,"3,212",0.89%,"361,891",,
1/21,"1,092",0.34%,"1,558",0.48%,"2,650",0.82%,"324,546",,
12/20,"1,892",0.60%,"2,927",0.93%,"4,819",1.53%,"315,200",,
11/20,"1,565",0.46%,"1,274",0.38%,"2,839",0.84%,"336,908",,
10/20,"1,019",0.30%,"1,275",0.38%,"2,294",0.67%,"339,923",,
9/20,"1,887",0.48%,"1,387",0.35%,"3,274",0.84%,"390,847",,
8/20,719,0.27%,744,0.28%,"1,463",0.54%,"270,350",,
7/20,767,0.23%,946,0.29%,"1,713",0.52%,"330,771",,
6/20,646,0.23%,"1,022",0.36%,"1,668",0.59%,"283,893",,
5/20,378,0.22%,519,0.30%,897,0.51%,"174,404",,
4/20,330,0.15%,635,0.29%,965,0.44%,"219,231",,
3/20,"1,412",0.29%,"1,635",0.34%,"3,047",0.63%,"485,207",,
2/20,"3,109",0.86%,"1,256",0.35%,"4,365",1.21%,"362,052",,
1/20,880,0.29%,"1,121",0.37%,"2,001",0.66%,"301,195",,
