Date,Vehicle Class,Fuel Type,Classified,Date
2019-11-01,HGV,Diesel,15,2019-11-01
2019-11-01,LGV,Diesel,480,2019-11-01
2019-11-01,LGV,Electric,3,2019-11-01
2019-11-01,MGV,Diesel,163,2019-11-01
2019-11-01,Motorcycle,Petrol,640,2019-11-01
2019-11-01,Private Bus,Diesel,2,2019-11-01
2019-11-01,Private Car,Electric,424,2019-11-01
2019-11-01,Private Car,Petrol,2676,2019-11-01
2019-11-01,Private Light Bus,Diesel,4,2019-11-01
2019-11-01,Private Light Bus,Electric,1,2019-11-01
2019-11-01,Private Light Bus,LPG,3,2019-11-01
2019-11-01,Public Bus,Diesel,48,2019-11-01
2019-11-01,Public Light Bus,Diesel,3,2019-11-01
2019-11-01,Public Light Bus,LPG,27,2019-11-01
2019-11-01,Taxi,LPG,63,2019-11-01
2019-12-01,HGV,Diesel,26,2019-12-01
2019-12-01,LGV,Diesel,947,2019-12-01
2019-12-01,LGV,Electric,8,2019-12-01
2019-12-01,MGV,Diesel,317,2019-12-01
2019-12-01,Motorcycle,Petrol,1283,2019-12-01
2019-12-01,Private Bus,Diesel,12,2019-12-01
2019-12-01,Private Car,Electric,813,2019-12-01
2019-12-01,Private Car,Petrol,5579,2019-12-01
2019-12-01,Private Light Bus,Diesel,13,2019-12-01
2019-12-01,Private Light Bus,Electric,1,2019-12-01
2019-12-01,Private Light Bus,LPG,12,2019-12-01
2019-12-01,Public Bus,Diesel,113,2019-12-01
2019-12-01,Public Light Bus,Diesel,4,2019-12-01
2019-12-01,Public Light Bus,LPG,64,2019-12-01
2019-12-01,Taxi,LPG,123,2019-12-01
2020-01-01,HGV,Diesel,41,2020-01-01
2020-01-01,LGV,Diesel,1283,2020-01-01
2020-01-01,LGV,Electric,14,2020-01-01
2020-01-01,MGV,Diesel,388,2020-01-01
2020-01-01,Motorcycle,Petrol,1710,2020-01-01
2020-01-01,Private Bus,Diesel,25,2020-01-01
2020-01-01,Private Car,Electric,928,2020-01-01
2020-01-01,Private Car,Petrol,7787,2020-01-01
2020-01-01,Private Light Bus,Diesel,21,2020-01-01
2020-01-01,Private Light Bus,Electric,1,2020-01-01
2020-01-01,Private Light Bus,LPG,23,2020-01-01
2020-01-01,Public Bus,Diesel,153,2020-01-01
2020-01-01,Public Light Bus,Diesel,7,2020-01-01
2020-01-01,Public Light Bus,LPG,82,2020-01-01
2020-01-01,Taxi,LPG,178,2020-01-01
