Fuel Type,Count,Date
Diesel,614,apr2021
Electric,629,apr2021
LPG,118,apr2021
Petrol,3300,apr2021
Diesel,538,apr2022
Electric,423,apr2022
LPG,113,apr2022
Petrol,2211,apr2022
Diesel,465,apr2023
Electric,1745,apr2023
LPG,51,apr2023
Petrol,1512,apr2023
Diesel,278,apr2024
Electric,5425,apr2024
LPG,72,apr2024
Petrol,1369,apr2024
Diesel,670,aug2020
Electric,992,aug2020
LPG,51,aug2020
Petrol,3414,aug2020
Diesel,746,aug2021
Electric,704,aug2021
LPG,134,aug2021
Petrol,3187,aug2021
Diesel,800,aug2022
Electric,2293,aug2022
LPG,133,aug2022
Petrol,2192,aug2022
Diesel,477,aug2023
Electric,2799,aug2023
LPG,126,aug2023
Petrol,1686,aug2023
Diesel,303,aug2024
Electric,2111,aug2024
LPG,85,aug2024
Petrol,1474,aug2024
Diesel,717,dec2019
Electric,394,dec2019
LPG,106,dec2019
Petrol,3546,dec2019
Diesel,529,dec2020
Electric,824,dec2020
LPG,76,dec2020
Petrol,3902,dec2020
Diesel,815,dec2021
Electric,1149,dec2021
LPG,127,dec2021
Petrol,2927,dec2021
Diesel,565,dec2022
Electric,2758,dec2022
LPG,65,dec2022
Petrol,1692,dec2022
Diesel,444,dec2023
Electric,3089,dec2023
LPG,64,dec2023
Petrol,1584,dec2023
Diesel,274,feb2020
Electric,197,feb2020
LPG,72,feb2020
Petrol,2227,feb2020
Diesel,532,feb2021
Electric,483,feb2021
LPG,90,feb2021
Petrol,2630,feb2021
Diesel,476,feb2022
Electric,897,feb2022
LPG,53,feb2022
Petrol,1479,feb2022
Diesel,487,feb2023
Electric,2657,feb2023
LPG,39,feb2023
Petrol,1702,feb2023
Diesel,231,feb2024
Electric,3539,feb2024
LPG,31,feb2024
Petrol,1245,feb2024
Diesel,486,jan2020
Electric,121,jan2020
LPG,84,jan2020
Petrol,2635,jan2020
Diesel,436,jan2021
Electric,226,jan2021
LPG,50,jan2021
Petrol,3007,jan2021
Diesel,567,jan2022
Electric,514,jan2022
LPG,77,jan2022
Petrol,2233,jan2022
Diesel,417,jan2023
Electric,1555,jan2023
LPG,29,jan2023
Petrol,1355,jan2023
Diesel,323,jan2024
Electric,3206,jan2024
LPG,69,jan2024
Petrol,1617,jan2024
Diesel,739,jul2020
Electric,106,jul2020
LPG,91,jul2020
Petrol,3920,jul2020
Diesel,636,jul2021
Electric,901,jul2021
LPG,123,jul2021
Petrol,3589,jul2021
Diesel,603,jul2022
Electric,1009,jul2022
LPG,104,jul2022
Petrol,2261,jul2022
Diesel,485,jul2023
Electric,2300,jul2023
LPG,99,jul2023
Petrol,1683,jul2023
Diesel,288,jul2024
Electric,1743,jul2024
LPG,89,jul2024
Petrol,1522,jul2024
Diesel,643,jun2020
Electric,145,jun2020
LPG,112,jun2020
Petrol,3393,jun2020
Diesel,642,jun2021
Electric,588,jun2021
LPG,91,jun2021
Petrol,4113,jun2021
Diesel,707,jun2022
Electric,1331,jun2022
LPG,183,jun2022
Petrol,2360,jun2022
Diesel,449,jun2023
Electric,2585,jun2023
LPG,92,jun2023
Petrol,1890,jun2023
Diesel,315,jun2024
Electric,1560,jun2024
LPG,73,jun2024
Petrol,1367,jun2024
Diesel,406,mar2020
Electric,596,mar2020
LPG,84,mar2020
Petrol,3009,mar2020
Diesel,632,mar2021
Electric,571,mar2021
LPG,137,mar2021
Petrol,3746,mar2021
Diesel,611,mar2022
Electric,1847,mar2022
LPG,63,mar2022
Petrol,1879,mar2022
Diesel,616,mar2023
Electric,2284,mar2023
LPG,59,mar2023
Petrol,1920,mar2023
Diesel,298,mar2024
Electric,4937,mar2024
LPG,88,mar2024
Petrol,1353,mar2024
Diesel,459,may2020
Electric,156,may2020
LPG,86,may2020
Petrol,3514,may2020
Diesel,759,may2021
Electric,956,may2021
LPG,89,may2021
Petrol,3387,may2021
Diesel,732,may2022
Electric,380,may2022
LPG,130,may2022
Petrol,2424,may2022
Diesel,506,may2023
Electric,2731,may2023
LPG,115,may2023
Petrol,1743,may2023
Diesel,299,may2024
Electric,1727,may2024
LPG,75,may2024
Petrol,1519,may2024
Diesel,715,nov2019
Electric,428,nov2019
LPG,93,nov2019
Petrol,3316,nov2019
Diesel,568,nov2020
Electric,789,nov2020
LPG,96,nov2020
Petrol,4248,nov2020
Diesel,678,nov2021
Electric,1666,nov2021
LPG,138,nov2021
Petrol,3025,nov2021
Diesel,678,nov2022
Electric,2844,nov2022
LPG,89,nov2022
Petrol,2094,nov2022
Diesel,398,nov2023
Electric,2602,nov2023
Hydrogen,1,nov2023
LPG,80,nov2023
Petrol,1983,nov2023
Diesel,417,oct2020
Electric,95,oct2020
LPG,94,oct2020
Petrol,4181,oct2020
Diesel,543,oct2021
Electric,838,oct2021
LPG,111,oct2021
Petrol,2550,oct2021
Diesel,633,oct2022
Electric,2977,oct2022
LPG,103,oct2022
Petrol,2044,oct2022
Diesel,377,oct2023
Electric,2483,oct2023
LPG,88,oct2023
Petrol,1671,oct2023
Diesel,406,sep2020
Electric,453,sep2020
LPG,119,sep2020
Petrol,4479,sep2020
Diesel,718,sep2021
Electric,1006,sep2021
LPG,104,sep2021
Petrol,3278,sep2021
Diesel,670,sep2022
Electric,2787,sep2022
LPG,97,sep2022
Petrol,2301,sep2022
Diesel,353,sep2023
Electric,2288,sep2023
LPG,112,sep2023
Petrol,1533,sep2023
