STAT_VAR,STAT_PRES,SEX,AGE,CCYY,H,OBS_VALUE,SD_VALUE
POP,Raw_K_1dp_per_n,M,0-4,1961,1,268.4,
POP,Raw_K_1dp_per_n,M,0-4,1962,1,271.9,
POP,Raw_K_1dp_per_n,M,0-4,1963,1,275.6,
POP,Raw_K_1dp_per_n,M,0-4,1964,1,275.3,
POP,Raw_K_1dp_per_n,M,0-4,1965,1,272.0,
POP,Raw_K_1dp_per_n,M,0-4,1966,1,263.9,
POP,Raw_K_1dp_per_n,M,0-4,1967,1,251.7,
POP,Raw_K_1dp_per_n,M,0-4,1968,1,239.2,
POP,Raw_K_1dp_per_n,M,0-4,1969,1,227.7,
POP,Raw_K_1dp_per_n,M,0-4,1970,1,217.0,
POP,Raw_K_1dp_per_n,M,0-4,1971,1,209.3,
POP,Raw_K_1dp_per_n,M,0-4,1972,1,205.1,
POP,Raw_K_1dp_per_n,M,0-4,1973,1,204.4,
POP,Raw_K_1dp_per_n,M,0-4,1974,1,205.5,
POP,Raw_K_1dp_per_n,M,0-4,1975,1,207.3,
POP,Raw_K_1dp_per_n,M,0-4,1976,1,205.1,
POP,Raw_K_1dp_per_n,M,0-4,1977,1,205.6,
POP,Raw_K_1dp_per_n,M,0-4,1978,1,205.2,
POP,Raw_K_1dp_per_n,M,0-4,1979,1,211.2,
POP,Raw_K_1dp_per_n,M,0-4,1980,1,211.2,
POP,Raw_K_1dp_per_n,M,0-4,1981,1,214.5,
POP,Raw_K_1dp_per_n,M,0-4,1982,1,218.2,
POP,Raw_K_1dp_per_n,M,0-4,1983,1,220.9,
POP,Raw_K_1dp_per_n,M,0-4,1984,1,220.5,
POP,Raw_K_1dp_per_n,M,0-4,1985,1,218.6,
POP,Raw_K_1dp_per_n,M,0-4,1986,1,215.9,
POP,Raw_K_1dp_per_n,M,0-4,1987,1,208.3,
POP,Raw_K_1dp_per_n,M,0-4,1988,1,201.3,
POP,Raw_K_1dp_per_n,M,0-4,1989,1,199.4,
POP,Raw_K_1dp_per_n,M,0-4,1990,1,194.9,
POP,Raw_K_1dp_per_n,M,0-4,1991,1,191.7,
POP,Raw_K_1dp_per_n,M,0-4,1992,1,191.5,
POP,Raw_K_1dp_per_n,M,0-4,1993,1,192.7,
POP,Raw_K_1dp_per_n,M,0-4,1994,1,193.8,
POP,Raw_K_1dp_per_n,M,0-4,1995,1,196.5,
POP,Raw_K_1dp_per_n,M,0-4,1996,1,197.2,
POP,Raw_K_1dp_per_n,M,0-4,1996,2,191.9,
POP,Raw_K_1dp_per_n,M,0-4,1997,1,189.3,
POP,Raw_K_1dp_per_n,M,0-4,1997,2,181.8,
POP,Raw_K_1dp_per_n,M,0-4,1998,1,177.2,
POP,Raw_K_1dp_per_n,M,0-4,1998,2,169.8,
POP,Raw_K_1dp_per_n,M,0-4,1999,1,168.2,
POP,Raw_K_1dp_per_n,M,0-4,1999,2,159.0,
POP,Raw_K_1dp_per_n,M,0-4,2000,1,153.4,
POP,Raw_K_1dp_per_n,M,0-4,2000,2,147.2,
POP,Raw_K_1dp_per_n,M,0-4,2001,1,142.0,
POP,Raw_K_1dp_per_n,M,0-4,2001,2,136.0,
POP,Raw_K_1dp_per_n,M,0-4,2002,1,130.3,
POP,Raw_K_1dp_per_n,M,0-4,2002,2,125.3,
POP,Raw_K_1dp_per_n,M,0-4,2003,1,122.8,
POP,Raw_K_1dp_per_n,M,0-4,2003,2,121.6,
POP,Raw_K_1dp_per_n,M,0-4,2004,1,118.3,
POP,Raw_K_1dp_per_n,M,0-4,2004,2,116.8,
POP,Raw_K_1dp_per_n,M,0-4,2005,1,114.4,
POP,Raw_K_1dp_per_n,M,0-4,2005,2,110.6,
POP,Raw_K_1dp_per_n,M,0-4,2006,1,110.4,
POP,Raw_K_1dp_per_n,M,0-4,2006,2,115.0,
POP,Raw_K_1dp_per_n,M,0-4,2007,1,111.3,
POP,Raw_K_1dp_per_n,M,0-4,2007,2,116.1,
POP,Raw_K_1dp_per_n,M,0-4,2008,1,114.0,
POP,Raw_K_1dp_per_n,M,0-4,2008,2,117.8,
POP,Raw_K_1dp_per_n,M,0-4,2009,1,117.7,
POP,Raw_K_1dp_per_n,M,0-4,2009,2,120.8,
POP,Raw_K_1dp_per_n,M,0-4,2010,1,124.2,
POP,Raw_K_1dp_per_n,M,0-4,2010,2,129.5,
POP,Raw_K_1dp_per_n,M,0-4,2011,1,129.5,
POP,Raw_K_1dp_per_n,M,0-4,2011,2,132.5,
POP,Raw_K_1dp_per_n,M,0-4,2012,1,136.3,
POP,Raw_K_1dp_per_n,M,0-4,2012,2,136.8,
POP,Raw_K_1dp_per_n,M,0-4,2013,1,134.2,
POP,Raw_K_1dp_per_n,M,0-4,2013,2,133.9,
POP,Raw_K_1dp_per_n,M,0-4,2014,1,137.4,
POP,Raw_K_1dp_per_n,M,0-4,2014,2,140.3,
POP,Raw_K_1dp_per_n,M,0-4,2015,1,146.2,
POP,Raw_K_1dp_per_n,M,0-4,2015,2,144.8,
POP,Raw_K_1dp_per_n,M,0-4,2016,1,144.8,
POP,Raw_K_1dp_per_n,M,0-4,2016,2,144.4,
POP,Raw_K_1dp_per_n,M,0-4,2017,1,141.2,
POP,Raw_K_1dp_per_n,M,0-4,2017,2,135.5,
POP,Raw_K_1dp_per_n,M,0-4,2018,1,138.2,
POP,Raw_K_1dp_per_n,M,0-4,2018,2,136.9,
POP,Raw_K_1dp_per_n,M,0-4,2019,1,134.9,
POP,Raw_K_1dp_per_n,M,0-4,2019,2,131.8,
POP,Raw_K_1dp_per_n,M,0-4,2020,1,127.0,
POP,Raw_K_1dp_per_n,M,0-4,2020,2,121.6,
POP,Raw_K_1dp_per_n,M,0-4,2021,1,117.5,
POP,Raw_K_1dp_per_n,M,0-4,2021,2,113.7,
POP,Raw_K_1dp_per_n,M,0-4,2022,1,109.4,
POP,Raw_K_1dp_per_n,M,0-4,2022,2,105.9,
POP,Raw_K_1dp_per_n,M,0-4,2023,1,104.1,
POP,Raw_K_1dp_per_n,M,0-4,2023,2,100.4,
POP,Raw_K_1dp_per_n,M,0-4,2024,1,98.2,102
POP,Prop_1dp_%_n,M,0-4,1961,1,8.5,
POP,Prop_1dp_%_n,M,0-4,1962,1,8.2,
POP,Prop_1dp_%_n,M,0-4,1963,1,8.1,
POP,Prop_1dp_%_n,M,0-4,1964,1,7.9,
POP,Prop_1dp_%_n,M,0-4,1965,1,7.6,
POP,Prop_1dp_%_n,M,0-4,1966,1,7.3,
POP,Prop_1dp_%_n,M,0-4,1967,1,6.8,
POP,Prop_1dp_%_n,M,0-4,1968,1,6.3,
POP,Prop_1dp_%_n,M,0-4,1969,1,5.9,
POP,Prop_1dp_%_n,M,0-4,1970,1,5.5,
POP,Prop_1dp_%_n,M,0-4,1971,1,5.2,
POP,Prop_1dp_%_n,M,0-4,1972,1,5.0,
POP,Prop_1dp_%_n,M,0-4,1973,1,4.8,
POP,Prop_1dp_%_n,M,0-4,1974,1,4.7,
POP,Prop_1dp_%_n,M,0-4,1975,1,4.6,
POP,Prop_1dp_%_n,M,0-4,1976,1,4.5,
POP,Prop_1dp_%_n,M,0-4,1977,1,4.5,
POP,Prop_1dp_%_n,M,0-4,1978,1,4.4,
POP,Prop_1dp_%_n,M,0-4,1979,1,4.3,
POP,Prop_1dp_%_n,M,0-4,1980,1,4.2,
POP,Prop_1dp_%_n,M,0-4,1981,1,4.1,
POP,Prop_1dp_%_n,M,0-4,1982,1,4.1,
POP,Prop_1dp_%_n,M,0-4,1983,1,4.1,
POP,Prop_1dp_%_n,M,0-4,1984,1,4.1,
POP,Prop_1dp_%_n,M,0-4,1985,1,4.0,
