	1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007		2008		2009		2010		2011		2012		2013		2014		2015		2016		2017		2018		2019		2020		2021		2022		2023	
0 - 4	378.5	368.5	363.2	348.7	339.7	325.9	322.3	305.3	294.7	282.5	272.8	261.8	251.7	242	237.3	234.2	227.7	224.9	221.1	213.9	213	221.5	214.5	223.5	219.2	226.2	226	231.3	238	248.6	249.2	254.9	262.3	264.2	259.7	258.5	265.5	271.2	281.8	279.1	279.5	278.8	273.3	262.7	267.8	265.4	261.5	255.2	246.7	236.6	229	221.9	213.1	205.9	201.8	194.3
9?5?	387.6	388.6	390.6	395.2	399.1	399.7	402.2	401.7	401.5	399.9	396.4	391.7	389.6	378.2	372.4	365.5	355.6	341.3	332.8	323	314.1	299.3	294.3	277.7	280.4	266.3	262.9	257.1	253.2	243.9	243.2	248.7	244.2	252.6	248.1	259.3	262.7	268.4	279.2	289.2	291.8	296.2	301.3	305.7	305.9	302	309.7	307.9	303.1	293.5	289.4	282.2	270.9	264.2	269.3	266.3
Oct-14	438	429.8	424.2	418.8	420.6	429	429.8	430.4	431.9	432.4	429.3	429.9	432.7	431	429.9	423.6	421.9	418.1	415	411.6	412.1	412.9	409.7	404	396.6	386.9	374.9	362.5	353	339.6	331.1	310.9	306.4	288.6	288.7	277.6	275.3	270.2	265.4	256.9	259.2	267.5	263.7	275.5	274	281.4	281.3	286.4	286.1	291.5	289.4	289.6	290.1	302.5	310.6	299.2
15 - 19	445.7	457.6	457.6	467.3	465.2	469.7	462.8	465	459	456.6	446	441.5	438.1	433.6	430.2	434.3	435.8	435	434.2	437.3	436.2	440.5	440.9	442.9	441.1	433.5	431.1	430.1	428	425.5	423.7	422.4	419.7	414.7	405.7	399.2	386.5	373.5	362.4	349.3	340.9	320.4	312.3	294.6	295.4	285	281.6	280.6	270.5	263.1	264.9	276.2	268.8	286.8	291.4	295.4
20 - 24	475.7	476	475.8	473.8	471.3	472.3	469.6	470.6	466.8	472.8	467.9	462.1	455	451.8	451.9	459.5	465.7	469.5	470.9	470.6	472.4	469.6	465.3	460.4	456.8	456	454.3	453.1	451.7	453.7	451.5	455	457.8	458.4	457.5	452.4	450.8	449.7	448.7	444.8	445.1	443.5	438.5	431.6	422.6	413.3	397.8	381.9	365.8	344.2	326.2	325.6	302.9	305.5	318.4	308.1
25 - 29	538.7	534.1	534.9	532.4	535	529	530.5	532	533.2	528.9	524.1	519.2	510.6	497.3	491.3	487.3	485.5	483.3	486.7	496.9	502.3	508.4	513.7	520.6	527.8	529.9	532.3	533	534.9	533	534.1	531.3	528.8	521.1	516.5	516.1	515	512.5	513.6	513.1	510.2	508	505	501.2	497.9	490.4	490.1	486.4	480	465.3	458.4	448.1	436.1	438.9	432.2	424.4
30 - 34	662.9	653.3	639.4	625	613.8	603.2	595.1	585.1	585.3	585.6	582.3	579.5	580.7	574.6	573.3	567.1	564.1	558.9	556.4	549.6	548.4	552	549.8	542.5	541.2	536.7	535.8	535.1	539.2	545.4	550	554	561.2	567.3	573.3	577.3	579	577.1	578.8	575.6	577.2	574.3	568	560	557.4	558.2	555.7	552.8	546.2	535.9	527	519.2	512.2	516.5	512.5	508.4
35 - 39	670.1	670.5	678.3	682	687.5	686.7	692.4	695.4	689.6	684.3	683.2	678.1	669.4	651.6	637.6	626.3	614.9	598.5	590.9	586.6	579.4	576.6	575.1	575.3	575.4	571.5	571.7	571.8	570.7	564.1	562.6	564.8	566	560.2	558.3	557.5	556.3	555.3	559.3	565.7	571.3	577.3	584.7	592.7	601.2	606.7	609.5	608.2	604.4	592.5	587.7	574.8	561	564.4	564.8	563.8
40 - 44	544.4	561.6	572.1	588	604.4	623.8	631.7	640.7	658.8	674.6	678.7	680.8	687.6	691.5	694.8	695.4	699.2	697.8	689.2	675	669.7	664.2	651.7	635.2	621.5	607.6	597.1	585.2	579.9	576.9	572.7	571.4	575.9	577.6	577.5	576.6	578.1	579.2	578.3	570.7	569.8	574.3	573.2	568.9	570.2	570	572.7	576.9	579.7	583.4	586.6	583.9	584.7	595.2	600.2	602
45 - 49	448.4	459	468.6	478.4	485.7	493.6	501.6	508.7	514.6	525.7	539.7	557.2	570.3	584.3	599.7	617	626.4	636.7	648.2	659.9	659.4	655.7	657.8	663.9	668.3	668	670.6	671.5	665.6	655.5	651.7	647	637.4	622.2	607.8	597.4	587.1	575.4	569.9	569	567	570.2	575.2	580.8	584.1	587.4	592.9	596	591.1	582.3	583	576	566.6	567.8	566.9	562.1
