,,Domestic,Commercial,Industrial,Street lighting,All groups,Exports of electricity to the mainland of China,Domestic,Commercial,Industrial,All groups
1979,Jan,507,918,985,11,2421,-,134,104,15,253
1979,Feb,544,970,891,11,2415,-,145,110,14,268
1979,Mar,520,995,1076,10,2601,-,141,107,16,264
1979,Apr,548,1030,1088,10,2676,96,136,111,16,263
1979,May,578,1145,1210,10,2943,80,120,108,16,244
1979,Jun,642,1220,1257,8,3127,103,123,112,19,255
1979,Jul,822,1373,1342,10,3547,116,115,106,19,239
1979,Aug,893,1385,1354,9,3641,88,102,105,18,224
1979,Sep,824,1331,1283,9,3447,82,105,109,18,233
1979,Oct,644,1241,1268,10,3163,107,112,109,17,238
1979,Nov,527,1134,1217,10,2888,121,126,119,18,263
1979,Dec,508,1020,1154,11,2693,112,142,119,16,277
1980,Jan,558,1064,1185,12,2819,120,164,131,19,314
1980,Feb,564,954,893,12,2423,106,173,133,16,321
1980,Mar,535,1006,1034,11,2586,101,173,123,15,310
1980,Apr,560,1168,1260,11,2999,105,170,135,19,324
1980,May,582,1279,1342,10,3213,72,144,128,19,291
1980,Jun,738,1418,1315,10,3481,73,140,126,19,286
1980,Jul,1044,1618,1447,10,4119,92,123,124,18,265
1980,Aug,983,1556,1425,10,3974,37,114,125,18,256
1980,Sep,945,1559,1383,11,3898,71,116,124,18,257
1980,Oct,764,1519,1366,11,3660,110,131,131,16,278
1980,Nov,608,1302,1253,12,3175,117,146,136,18,299
1980,Dec,533,1205,1223,12,2973,106,165,139,19,323
1981,Jan,599,1155,1163,12,2929,115,192,152,19,363
1981,Feb,585,1106,855,13,2559,99,210,153,14,378
1981,Mar,546,1180,1120,12,2858,111,183,135,17,335
1981,Apr,612,1364,1247,11,3234,102,177,146,19,343
1981,May,681,1488,1376,11,3556,41,167,144,18,329
1981,Jun,736,1568,1404,11,3719,38,160,153,21,333
1981,Jul,967,1735,1466,11,4179,17,154,144,18,315
1981,Aug,1049,1721,1458,11,4239,19,137,152,22,311
1981,Sep,1029,1759,1498,12,4298,40,140,148,19,308
1981,Oct,786,1642,1388,12,3828,75,145,148,19,311
1981,Nov,595,1377,1252,12,3236,86,171,154,19,344
1981,Dec,550,1246,1181,13,2990,108,188,155,21,364
1982,Jan,587,1209,996,13,2805,94,226,166,15,408
1982,Feb,611,1192,916,14,2733,91,238,166,19,423
1982,Mar,579,1343,1171,12,3105,82,237,163,19,419
1982,Apr,625,1423,1234,12,3294,48,213,162,18,393
1982,May,659,1638,1367,12,3676,6,203,165,19,388
1982,Jun,788,1854,1406,11,4059,2,194,174,18,386
1982,Jul,1011,2040,1514,11,4576,60,187,176,19,382
1982,Aug,1137,1980,1456,12,4585,107,170,188,18,376
1982,Sep,1074,2085,1478,13,4650,103,173,185,20,378
1982,Oct,863,1901,1350,13,4127,99,182,190,18,391
1982,Nov,693,1779,1343,17,3832,135,229,198,18,444
1982,Dec,601,1508,1207,13,3329,153,247,204,20,471
1983,Jan,678,1458,1134,15,3285,136,278,216,18,512
1983,Feb,691,1409,906,15,3021,117,314,217,16,547
1983,Mar,693,1486,1065,14,3258,61,285,215,18,517
1983,Apr,753,1731,1295,14,3793,29,280,225,19,524
1983,May,747,1946,1444,13,4150,30,259,221,19,499
1983,Jun,972,2139,1561,14,4686,29,233,220,20,474
1983,Jul,1260,2276,1656,13,5205,30,216,219,20,455
1983,Aug,1251,2307,1688,14,5260,152,193,222,21,436
1983,Sep,1234,2333,1620,14,5201,193,192,221,19,431
1983,Oct,1053,2194,1554,14,4815,187,213,226,20,459
1983,Nov,723,1917,1489,15,4144,171,263,230,21,515
1983,Dec,631,1653,1409,15,3708,189,295,238,22,555
1984,Jan,752,1617,1342,17,3728,311,338,256,21,615
1984,Feb,783,1546,1049,17,3395,266,360,257,16,633
1984,Mar,681,1649,1314,17,3661,251,337,260,21,618
1984,Apr,714,1790,1417,18,3939,251,308,260,22,590
1984,May,751,2028,1635,17,4431,150,296,259,22,577
1984,Jun,1013,2314,1674,15,5016,56,275,261,22,558
1984,Jul,1206,2455,1783,14,5458,90,246,267,23,536
1984,Aug,1298,2509,1843,15,5665,186,225,262,23,510
1984,Sep,1213,2418,1742,16,5389,200,228,266,21,515
1984,Oct,985,2352,1702,14,5053,259,245,265,21,531
1984,Nov,740,2082,1593,18,4433,306,295,275,22,592
1984,Dec,680,1850,1451,18,3999,336,323,285,23,631
1985,Jan,825,1820,1417,19,4081,326,382,310,22,714
1985,Feb,720,1620,1094,18,3452,281,410,319,23,752
1985,Mar,766,1728,1138,20,3652,283,389,308,20,717
1985,Apr,770,1900,1413,19,4102,267,393,318,24,735
1985,May,877,2364,1675,18,4934,245,342,303,25,670
1985,Jun,1096,2403,1681,16,5196,267,307,293,23,623
1985,Jul,1215,2607,1786,15,5623,291,273,290,22,586
1985,Aug,1411,2810,1900,16,6137,389,263,295,23,581
1985,Sep,1207,2535,1697,17,5456,305,264,295,22,581
1985,Oct,1022,2636,1789,16,5463,341,304,306,22,632
1985,Nov,867,2364,1710,17,4958,347,330,311,24,664
1985,Dec,743,2007,1520,18,4288,438,379,321,24,724
1986,Jan,844,2054,1534,17,4449,485,450,338,23,811
1986,Feb,803,1745,1081,18,3647,330,482,341,20,843
1986,Mar,769,1744,1284,18,3815,356,406,327,21,754
1986,Apr,861,2321,1762,18,4962,404,378,341,25,744
1986,May,901,2558,1861,18,5338,298,399,337,26,762
1986,Jun,1213,2743,1949,18,5923,258,382,335,29,747
1986,Jul,1520,2961,2094,18,6593,43,332,327,29,688
1986,Aug,1537,2914,2108,18,6577,329,296,342,31,668
1986,Sep,1616,2945,2085,18,6664,460,307,341,29,677
1986,Oct,1121,2699,2023,18,5861,456,323,345,30,698
1986,Nov,858,2339,1827,18,5042,415,383,370,32,785
1986,Dec,765,2156,1784,18,4723,516,455,379,32,865
1987,Jan,842,2074,1629,18,4563,522,519,402,33,954
1987,Feb,840,2151,1393,18,4402,504,510,389,26,924
1987,Mar,803,2280,1785,18,4886,589,414,399,33,846
1987,Apr,904,2483,1909,18,5314,512,392,402,35,829
1987,May,987,2684,2075,18,5764,383,456,411,34,901
1987,Jun,1222,2906,2139,19,6286,287,457,405,34,896
1987,Jul,1749,3290,2339,19,7397,314,426,405,34,864
1987,Aug,1744,3099,2262,19,7124,269,371,408,34,813
1987,Sep,1775,3313,2389,19,7496,323,350,415,35,800
1987,Oct,1258,3019,2172,19,6468,275,388,435,34,857
1987,Nov,998,2717,2035,19,5769,333,434,443,35,912
1987,Dec,900,2386,1851,19,5156,594,538,417,33,987
1988,Jan,916,2391,1816,19,5142,467,563,502,36,1102
1988,Feb,829,2187,1477,19,4512,400,566,456,32,1054
1988,Mar,976,2388,1664,19,5047,393,574,462,31,1066
1988,Apr,1017,2547,1953,18,5535,367,523,499,38,1059
1988,May,1180,3024,2203,19,6426,216,530,462,38,1030
1988,Jun,1645,3336,2331,18,7330,247,528,462,39,1029
1988,Jul,2037,3472,2385,19,7913,403,472,447,37,955
1988,Aug,1962,3413,2412,19,7806,469,405,434,36,875
1988,Sep,1956,3536,2417,19,7928,543,395,465,38,898
1988,Oct,1351,3169,2243,19,6782,550,446,494,38,978
1988,Nov,963,2807,2050,19,5839,537,507,506,41,1053
1988,Dec,881,2549,1926,19,5375,592,619,492,37,1148
1989,Jan,1013,2623,1915,20,5571,534,670,554,41,1264
1989,Feb,1023,2329,1331,20,4703,359,709,523,33,1265
1989,Mar,903,2570,1826,20,5319,710,650,506,42,1198
1989,Apr,1037,2841,2006,20,5904,546,593,518,43,1154
1989,May,1142,3203,2185,20,6550,517,560,501,44,1104
1989,Jun,1599,3535,2317,20,7471,485,557,493,42,1092
1989,Jul,2134,3762,2457,20,8373,616,527,494,43,1065
1989,Aug,2171,3763,2468,20,8422,682,484,511,44,1038
1989,Sep,2370,3918,2455,20,8763,516,471,515,43,1029
1989,Oct,1647,3535,2289,20,7491,494,491,519,44,1054
1989,Nov,1090,3247,2091,20,6448,482,565,534,46,1145
1989,Dec,946,2772,1838,20,5576,430,666,550,45,1262
1990,Jan,1069,2739,1729,20,5557,422,698,604,47,1349
1990,Feb,1117,2657,1394,20,5188,394,740,564,35,1339
1990,Mar,1045,2830,1865,21,5761,388,717,581,48,1345
1990,Apr,1093,3078,1971,21,6163,399,656,575,50,1282
1990,May,1194,3382,2140,20,6736,454,623,558,50,1231
1990,Jun,1640,3901,2362,21,7924,514,667,564,51,1282
1990,Jul,2537,4164,2421,21,9143,610,603,554,50,1207
